SubModelID,SubModelName
1214,RN63
1215,LN67
1217,RN02
1218,YR32 DX
1219,CV
1220,Transport
1221,GTX 16-V
1222,GLX VR6
1223,Bus
1225,Custom L
1226,GTX
1227,4WD
1228,Sundowner
1229,Sundowner Sport
1230,Sundowner Base
1231,Sundowner DLX
1232,Sundowner SE-5
1233,SE-5
1234,MP3
1235,Mazdaspeed
1236,LE-5
1237,Turbo 4WS
1238,Troy Lee
1239,Cargo
1240,Passenger
1241,LXE
1242,DS
1244,Royale LSS
1245,Turbo SE
1246,S4s
1252,Maxx
1254,Sport Plus
1257,FX4
1258,SES
1261,Ultimate
1262,Ultimate L
1274,H6 35th Anniversary Edition
1275,XLE Limited
1276,GLX 4 Motion
1277,W12
1278,2.4
1279,2.5T
1280,2.5T AWD
1284,GL TDI
1285,GLS TDI
1286,WRX STI
1287,H6 VDC
1288,L 35th Anniversary
1290,Z66
1291,SVT Lightning
1292,XT
1293,Red Line
1294,GT3
1296,Sportback
1297,RX-V
1299,Tremor
1300,NBX
1302,Maxx LS
1303,Maxx LT
1304,XLS Sport
1308,EV
1321,L Custom
1322,Ls Deluxe
1327,4 Motion
1328,Sport LS
1329,Z71 LS
1332,Chateau HD
1333,Custom HD
1334,XLT HD
1335,XL HD
1336,Laramie
1337,Street Cruiser
1338,Dream Cruiser
1339,Ultimate Edition
1340,Platinum Edition
1341,Pacific Coast Roadster
1342,XLT No Boundaries
1343,XT Premium
1344,XS L.L. Bean Edition
1345,XT Limited
1346,VDC Limited
1347,R L.L. Bean Edition
1352,ZXW
1353,ZX4 ST
1354,ZX4
1355,R32
1357,GLS 4 Motion
1358,CXS
1359,Special Value
1360,Z85 LS
1361,Z85
1362,Z85 SL
1363,Z71 SL
1364,Z85 SLE
1365,Z71 SLE
1366,Z71 Fleet
1368,GXP
1369,SV6
1370,Unlimited
1371,Signature L
1372,Signature Limited
1374,Off-Road
1375,Nismo Off-Road
1377,CDI
1378,T6 Premier
1379,4.8is
1381,Hemi Sport
1382,Evolution RS
1383,Evolution MR
1384,Ralliart
1385,SRT-6
1386,X-Runner
1387,Alpina
1388,Unlimited Rubicon
1389,C SRT8
1390,SE Off-Road
1391,Shinka
1392,SXT Special Edition
1393,Adrenalin
1394,SP23
1395,Grand Touring
